"ident","type","name","elevation_ft","continent","iso_country","iso_region","municipality","icao_code","iata_code","gps_code","local_code","coordinates"
"WALR","medium_airport","Juwata International Airport / Suharnoko Harbani AFB","23","AS","ID","ID-KU","Tarakan","WAQQ","TRK","WAQQ","TRK","3.325145, 117.564169"
"FCBB","large_airport","Maya-Maya International Airport","1048","AF","CG","CG-12","Brazzaville","FCBB","BZV","FCBB","","-4.2517, 15.253"
"KGLD","medium_airport","Goodland Municipal Airport","3656","NA","US","US-KS","Goodland","KGLD","GLD","KGLD","GLD","39.370701, -101.699753"
"KMCC","medium_airport","McClellan Airfield","77","NA","US","US-CA","Sacramento","KMCC","MCC","KMCC","MCC","38.667599, -121.401001"
"VEBI","medium_airport","Shillong Airport","2910","AS","IN","IN-ML","Shillong","VEBI","SHL","VEBI","","25.70359992980957, 91.97869873046875"
"KDRI","medium_airport","Beauregard Regional Airport","202","NA","US","US-LA","DeRidder","KDRI","DRI","KDRI","DRI","30.831699, -93.339897"
"SCCI","large_airport","President Carlos Ibáñez International Airport","139","SA","CL","CL-MA","Punta Arenas","SCCI","PUQ","SCCI","","-53.002602, -70.854599"
"CYZH","medium_airport","Slave Lake Airport","1912","NA","CA","CA-AB","Slave Lake","CYZH","YZH","CYZH","","55.292945, -114.777276"
"LFQT","medium_airport","Merville-Calonne Airport","61","EU","FR","FR-HDF","Merville, Nord","LFQT","HZB","LFQT","","50.618401, 2.64224"
"FNLU","large_airport","Quatro de Fevereiro International Airport","243","AF","AO","AO-LUA","Luanda","FNLU","LAD","FNLU","","-8.85837, 13.2312"
"FYSS","small_airport","Sesriem Airport","2454","AF","NA","NA-HA","Sesriem","FYSS","SZM","FYSS","","-24.5128, 15.7467"
"PAGN","seaplane_base","Angoon Seaplane Base","","NA","US","US-AK","Angoon","PAGN","AGN","PAGN","AGN","57.497097, -134.56722"
"GCTS","large_airport","Tenerife Sur Airport","209","AF","ES","ES-CN","Tenerife","GCTS","TFS","GCTS","","28.0445, -16.5725"
"5NK","small_airport","Naknek Airport","70","NA","US","US-AK","Naknek","","NNK","","5NK","58.735633, -157.02216"
"DFET","small_airport","Tenkodogo Airport","1017","AF","BF","BF-BLG","Tenkodogo","DFET","TEG","DFET","","11.801149, -0.371377"
"VYYE","small_airport","Ye Airport","30","AS","MM","MM-15","Ye","VYYE","XYE","VYYE","","15.301361, 97.864288"
"EKSB","medium_airport","Sønderborg Airport","24","EU","DK","DK-83","Sønderborg","EKSB","SGD","EKSB","","54.96440124511719, 9.791729927062988"
"KMWA","medium_airport","Veterans Airport of Southern Illinois","472","NA","US","US-IL","Marion","KMWA","MWA","KMWA","MWA","37.751208, -89.016568"
"KDLH","medium_airport","Duluth International Airport","1428","NA","US","US-MN","Duluth","KDLH","DLH","KDLH","DLH","46.841873, -92.198746"
"KMLB","medium_airport","Melbourne Orlando International Airport","33","NA","US","US-FL","Melbourne","KMLB","MLB","KMLB","MLB","28.102009, -80.641088"
"LKPO","medium_airport","Přerov Air Base","676","EU","CZ","CZ-OL","Přerov","LKPO","PRV","LKPO","","49.4258, 17.404699"
"LTAP","small_airport","Amasya Merzifon Airport","1758","AS","TR","TR-05","Amasya","LTAP","MZH","LTAP","","40.829399, 35.521999"
"KANP","small_airport","Lee Airport","34","NA","US","US-MD","Annapolis","KANP","ANP","KANP","ANP","38.942902, -76.568398"
"KCEW","medium_airport","Bob Sikes Airport","213","NA","US","US-FL","Crestview","KCEW","CEW","KCEW","CEW","30.778799057, -86.522102356"
"CYVQ","medium_airport","Norman Wells Airport","238","NA","CA","CA-NT","Norman Wells","CYVQ","YVQ","CYVQ","","65.28160095214844, -126.7979965209961"
"USMM","medium_airport","Nadym Airport","49","AS","RU","RU-YAN","Nadym","USMM","NYM","USMM","","65.48090362548828, 72.69889831542969"
"KTPF","small_airport","Peter O Knight Airport","8","NA","US","US-FL","Tampa","KTPF","TPF","KTPF","TPF","27.915599822998, -82.44930267334"
"SCHR","medium_airport","Cochrane Airport","643","SA","CL","CL-AI","Cochrane","SCHR","LGR","SCHR","","-47.243591, -72.58815"
"ZBUL","small_airport","Ulanhot Yilelite Airport","","AS","CN","CN-15","Ulanhot","ZBUL","HLH","ZBUL","","46.195333, 122.008333"
"ENLK","medium_airport","Leknes Airport","78","EU","NO","NO-18","Leknes","ENLK","LKN","ENLK","","68.152496337891, 13.609399795532"
"KIAG","medium_airport","Niagara Falls International Airport","589","NA","US","US-NY","Niagara Falls","KIAG","IAG","KIAG","IAG","43.1073, -78.946198"
"Z91","small_airport","Birch Creek Airport","450","NA","US","US-AK","Birch Creek","","KBC","Z91","Z91","66.2740020752, -145.824005127"
"FLZB","small_airport","Zambezi Airport","3538","AF","ZM","ZM-06","Zambezi","FLZB","BBZ","FLZB","","-13.535996, 23.10559"
"YBRL","small_airport","Borroloola Airport","55","OC","AU","AU-NT","","YBRL","BOX","YBRL","","-16.0753, 136.302002"
"ZGHC","medium_airport","Hechi Jinchengjiang Airport","2221","AS","CN","CN-45","Hechi (Jinchengjiang)","ZGHC","HCJ","ZGHC","","24.804344, 107.710819"
"LGAD","medium_airport","Andravida Air Base","55","EU","GR","GR-G","Andravida","LGAD","PYR","LGAD","","37.9207, 21.292601"
"KO02","small_airport","Nervino Airport","4900","NA","US","US-CA","Beckwourth","","NVN","","O02","39.818501, -120.352997"
"MUMZ","medium_airport","Sierra Maestra International Airport","112","NA","CU","CU-12","Manzanillo","MUMZ","MZO","MUMZ","","20.288605, -77.087545"
"ETAR","medium_airport","Ramstein Air Base","776","EU","DE","DE-RP","Ramstein-Miesenbach","ETAR","RMS","ETAR","","49.436901, 7.60028"
"FOOE","small_airport","Mekambo Airport","1673","AF","GA","GA-6","Mekambo","FOOE","MKB","FOOE","","0.976706, 13.968462"
"UENW","medium_airport","Vilyuisk Airport","361","AS","RU","RU-SA","Vilyuisk","UENW","VYI","UENW","","63.756668, 121.693336"
"UOHH","medium_airport","Khatanga Airport","95","AS","RU","RU-KYA","Khatanga","UOHH","HTG","UOHH","","71.97810363769531, 102.49099731445312"
"SKCN","small_airport","Cravo Norte Airport","341","SA","CO","CO-ARA","Cravo Norte","SKCN","RAV","SKCN","RAV","6.316404, -70.21137"
"YBHM","medium_airport","Hamilton Island Airport","15","OC","AU","AU-QLD","Hamilton Island","YBHM","HTI","YBHM","","-20.3581008911, 148.95199585"
"EDDM","large_airport","Munich Airport","1487","EU","DE","DE-BY","Munich","EDDM","MUC","EDDM","","48.353802, 11.7861"
"LGRP","large_airport","Rhodes International Airport ""Diagoras""","17","AS","GR","GR-L","Rhodes","LGRP","RHO","LGRP","","36.405399, 28.086201"
"CYXQ","medium_airport","Beaver Creek Airport","2131","NA","CA","CA-YT","Beaver Creek","CYXQ","YXQ","CYXQ","","62.410301208496094, -140.86700439453125"
"WAOW","small_airport","Tumbang Samba Airport","160","AS","ID","ID-KT","Tumbang Samba-Borneo Island","","TBM","WAGT","","-1.469024, 113.080984"
"BGNQ","heliport","Nuugaatsiaq Heliport","57","NA","GL","GL-AV","Nuugaatsiaq","","JUU","BGNQ","NUG","71.538769, -53.205038"
"ZGNN","large_airport","Nanning Wuxu International Airport","421","AS","CN","CN-45","Nanning (Jiangnan)","ZGNN","NNG","ZGNN","","22.598071, 108.181922"
"19P","seaplane_base","Port Protection Seaplane Base","","NA","US","US-AK","Port Protection","","PPV","19P","19P","56.3288, -133.610001"
"CAV7","seaplane_base","Mansons Landing Seaplane Base","","NA","CA","CA-BC","Mansons Landing","","YMU","CAV7","CAV7","50.07137, -124.98362"
"YBRW","medium_airport","Brewarrina Airport","414","OC","AU","AU-NSW","","YBRW","BWQ","YBRW","","-29.975792, 146.81438"
"KBCT","medium_airport","Boca Raton Airport","13","NA","US","US-FL","Boca Raton","KBCT","BCT","KBCT","BCT","26.3785, -80.107697"
"AYAG","small_airport","Agaun Airport","3200","OC","PG","PG-MBA","Agaun","AYAG","AUP","AYAG","AUN","-9.927715, 149.389951"
"FCOU","medium_airport","Ouesso Airport","1158","AF","CG","CG-13","","FCOU","OUE","FCOU","","1.61599, 16.037901"
"IBI","small_airport","Iboki Airport","13","OC","PG","PG-WBK","Iboki","","IBI","","IBK","-5.5536, 149.19"
"KELZ","small_airport","Wellsville Municipal Airport - Tarantine Field","2124","NA","US","US-NY","Wellsville","KELZ","ELZ","KELZ","ELZ","42.109501, -77.989998"
