"ident","type","name","elevation_ft","continent","iso_country","iso_region","municipality","icao_code","iata_code","gps_code","local_code","coordinates"
"WIDN","medium_airport","Raja Haji Fisabilillah International Airport","52","AS","ID","ID-KR","Tanjung Pinang-Bintan Island","WIDN","TNJ","WIDN","","0.92397, 104.53341"
"RPUT","medium_airport","Tuguegarao Airport","70","AS","PH","PH-CAG","Tuguegarao City","RPUT","TUG","RPUT","","17.6433676823, 121.733150482"
"KRVS","medium_airport","Tulsa Riverside Airport","638","NA","US","US-OK","Tulsa","KRVS","RVS","KRVS","RVS","36.0396, -95.984596"
"AYZM","small_airport","Wasum Airport","175","OC","PG","PG-WBK","Wasum","","WUM","AYZM","WSM","-6.0491, 149.337"
"EGTE","medium_airport","Exeter International Airport","102","EU","GB","GB-ENG","Exeter, Devon","EGTE","EXT","EGTE","","50.734261, -3.413984"
"MH-NDK","small_airport","Namorik Airport","15","OC","MH","MH-NMK","Namorik Atoll","","NDK","3N0","3N0","5.633005, 168.125631"
"UHSM","small_airport","Yuzhno-Kurilsk Mendeleyevo Airport","584","AS","RU","RU-SAK","Yuzhno-Kurilsk","UHSM","DEE","UHSM","","43.961066, 145.684977"
"9Z8","small_airport","Levelock Airport","39","NA","US","US-AK","Levelock","","KLL","9Z8","9Z8","59.12606, -156.860906"
"PFKO","small_airport","Kotlik Airport","15","NA","US","US-AK","Kotlik","PFKO","KOT","PFKO","2A9","63.030602, -163.533005"
"WAES","small_airport","Emalamo Airport","11","AS","ID","ID-MU","Sanana","WAES","SQN","WAES","","-2.100424, 125.965838"
"FOOI","small_airport","Tchongorove Airport","48","AF","GA","GA-8","Iguela","FOOI","IGE","FOOI","","-1.930801, 9.319577"
"AGGA","small_airport","Gwaunaru'u Airport","5","OC","SB","SB-ML","Auki","AGGA","AKS","AGGA","","-8.70257, 160.682007"
"EGUL","medium_airport","RAF Lakenheath","32","EU","GB","GB-ENG","Brandon, Suffolk","EGUL","LKZ","EGUL","","52.40954, 0.561161"
"WIPT","medium_airport","Minangkabau International Airport","18","AS","ID","ID-SB","Padang (Katapiang)","WIEE","PDG","WIEE","","-0.785964, 100.280384"
"ESSL","large_airport","Linköping City Airport","172","EU","SE","SE-E","Linköping","ESSL","LPI","ESSL","","58.404909, 15.684499"
"EHBK","large_airport","Maastricht Aachen Airport","375","EU","NL","NL-LI","Maastricht","EHBK","MST","EHBK","","50.911087, 5.769401"
"KAIZ","small_airport","Lee C Fine Memorial Airport","869","NA","US","US-MO","Kaiser Lake Ozark","KAIZ","AIZ","KAIZ","AIZ","38.0960006714, -92.54949951170002"
"IN-0392","large_airport","Noida International Airport","644","AS","IN","IN-UP","Gautam Buddha Nagar","VIND","DXN","VIND","","28.179868, 77.611843"
"KGPT","medium_airport","Gulfport Biloxi International Airport","28","NA","US","US-MS","Gulfport","KGPT","GPT","KGPT","GPT","30.405582, -89.069836"
"SVLF","medium_airport","La Fria Airport","305","SA","VE","VE-S","","SVLF","LFR","SVLF","","8.239167, -72.271027"
