"flight_id","origin_code","destination_code","travel_time","cost"
"FL000001","TFS","EFK","577","116.08"
"FL000002","LIC","HSZ","134","278.9"
"FL000003","FOG","MWE","90","850.86"
"FL000004","TRV","MKB","306","322.04"
"FL000005","CNI","MKB","115","1243.47"
"FL000006","BZV","KTA","588","1361.89"
"FL000007","FRZ","MAR","562","1370.13"
"FL000008","LWY","HUS","131","202.65"
"FL000009","WJR","YTP","404","910.73"
"FL000010","TBM","ISL","488","1000.56"
"FL000011","OTQ","SVC","165","103.04"
"FL000012","MHS","MAJ","96","125.35"
"FL000013","WJR","SZM","345","687.54"
"FL000014","YGH","SGK","572","578.18"
"FL000015","TJS","SGD","434","111.34"
"FL000016","TJS","ICN","412","1151.25"
"FL000017","AUV","WYN","404","834.59"
"FL000018","DUS","MIN","57","1443.94"
"FL000019","KXF","CEA","250","1207.53"
"FL000020","TNC","OBX","136","1450.07"
"FL000021","CEA","OME","49","719.79"
"FL000022","BXY","BEW","422","1419.68"
"FL000023","TMX","NKD","421","210.87"
"FL000024","SGK","GRF","456","350.31"
"FL000025","CAH","SJP","199","1147.57"
"FL000026","DYR","PNK","357","91.84"
"FL000027","MCC","LXR","102","1423.23"
"FL000028","XCO","RHO","541","1451.89"
"FL000029","UAC","DEI","356","100.63"
"FL000030","COO","LUV","288","106.74"
"FL000031","MKW","TAP","184","340.96"
"FL000032","LUV","LLT","46","880.03"
"FL000033","DEI","PPV","183","72.07"
"FL000034","BGX","TBO","177","1387.15"
"FL000035","LBJ","WYN","293","1126.04"
"FL000036","NUW","GEM","242","252.97"
"FL000037","YFJ","HGD","164","382.59"
"FL000038","LUV","HGD","578","556.79"
"FL000039","DRI","YKY","295","93.84"
"FL000040","KME","EGN","500","192.65"
"FL000041","LXR","MVE","163","667.28"
"FL000042","WJR","OME","209","749.82"
"FL000043","ATY","LLE","437","429.4"
"FL000044","WUV","MIB","276","885.72"
"FL000045","LTW","PYR","490","768.68"
"FL000046","TAP","MFK","248","93.43"
"FL000047","SVC","KIH","594","672.39"
"FL000048","SGK","MGA","388","1435.66"
"FL000049","NNG","OSW","135","178.51"
"FL000050","ARX","YUA","173","793.86"
"FL000051","RIE","MHS","449","874.09"
"FL000052","BZV","TAP","373","523.5"
"FL000053","URM","BTU","420","327.76"
"FL000054","MAR","KSH","261","1210.46"
"FL000055","PPV","IBI","163","1497.33"
"FL000056","AOL","GMN","333","463.82"
"FL000057","DRI","AUV","94","634.19"
"FL000058","MVE","MXX","74","656.39"
"FL000059","OME","MNO","88","1450.65"
"FL000060","XYE","RVK","54","789.17"
"FL000061","URA","IUE","376","179.81"
"FL000062","PRP","AEU","260","1268.23"
"FL000063","IKS","EUC","553","535.94"
"FL000064","BEW","CSK","385","841.21"
"FL000065","MFZ","ZGR","348","428.42"
"FL000066","SPA","ELZ","482","773.06"
"FL000067","OIT","TWH","211","457.15"
"FL000068","GTN","WLP","461","588.46"
"FL000069","YMU","TII","425","390.87"
"FL000070","VPE","MRV","456","905.3"
"FL000071","GAY","ICN","285","305.43"
"FL000072","NCJ","DYR","430","1000.59"
"FL000073","BXG","MVE","460","927.39"
"FL000074","SWO","GRF","542","236.07"
"FL000075","MIN","IAG","189","460.22"
"FL000076","MKB","BOX","372","840.64"
"FL000077","NUW","CAH","133","79.51"
"FL000078","CAH","BSJ","193","1185.49"
"FL000079","TII","SGK","542","580.49"
"FL000080","TJH","NUW","87","203.13"
"FL000081","MAR","MRR","377","1087.16"
"FL000082","GBT","HTI","107","650.68"
"FL000083","MIE","OCS","239","309.95"
"FL000084","BWQ","BDE","297","418.4"
"FL000085","BNP","EFK","353","1315.53"
"FL000086","PWO","KTA","102","483.78"
"FL000087","BCM","IKS","542","486.5"
"FL000088","LMD","GLC","246","438.47"
"FL000089","YZH","JUU","439","759.96"
"FL000090","PUZ","BTU","526","735.18"
"FL000091","MRV","HWD","156","1481.58"
"FL000092","LAD","HLH","381","411.36"
"FL000093","SRS","MRR","434","1310.69"
"FL000094","DLH","TMM","342","1338.12"
"FL000095","CWA","MKW","292","1081.23"
"FL000096","ICN","RSU","346","463.34"
"FL000097","JCY","TPF","127","80.89"
"FL000098","AUV","ULP","453","1189.6"
"FL000099","YZH","NYM","287","1234.88"
"FL000100","CTB","PYR","190","310.67"
"FL000101","GAY","DIQ","485","379.43"
"FL000102","GNT","ATY","156","1242.73"
"FL000103","WKK","OIT","569","363.76"
"FL000104","AEU","TBM","166","952.38"
"FL000105","TMM","TZX","483","1421.88"
"FL000106","NUK","RPR","318","832.24"
"FL000107","HUA","TJS","514","1464.75"
"FL000108","PUJ","HVK","271","672.5"
"FL000109","TFS","CRI","238","923.39"
"FL000110","YZH","LBJ","294","1073.8"
"FL000111","OME","KSH","260","1399.67"
"FL000112","YZH","JMO","241","1308.59"
"FL000113","LMD","YAQ","384","864.54"
"FL000114","KSH","URA","171","1167.34"
"FL000115","JUU","SWO","217","1379.24"
