"flight_id","origin_code","destination_code","travel_time","cost"
"FL000001","OGG","UPL","195","1209.34"
"FL000002","PDG","MBM","599","1326.76"
"FL000003","CCU","HMA","375","1015.31"
"FL000004","PET","NMI","568","225.42"
"FL000005","DPG","IWJ","224","870.07"
"FL000006","AIZ","RLR","554","1018.99"
"FL000007","NMI","ULX","83","1211.06"
"FL000008","OCV","CJF","199","614.69"
"FL000009","PKC","LFR","153","419.76"
"FL000010","DXN","KIQ","123","1286.92"
"FL000011","RLR","DEX","507","109.61"
"FL000012","HDS","CVM","396","1271.52"
"FL000013","CVM","SZJ","419","278.9"
"FL000014","RLR","TNJ","49","677.59"
"FL000015","CFC","IWJ","130","1041.77"
"FL000016","LPI","LFR","321","1466.24"
"FL000017","TNJ","DEX","119","804.27"
"FL000018","ULX","GOO","568","911.81"
"FL000019","BFT","CPS","165","1450.7"
"FL000020","TCC","DPG","580","80.94"
"FL000021","YFB","UAM","141","951.4"
"FL000022","SOU","LKZ","69","809.61"
"FL000023","GPT","SZJ","242","876.52"
"FL000024","LPI","ULX","440","272.03"
"FL000025","HDS","RBU","59","770.89"
"FL000026","VQQ","AKS","261","1403.67"
"FL000027","YFB","KOT","429","1312.53"
"FL000028","CIH","EXT","552","77.76"
"FL000029","NMI","PDG","522","1375.12"
"FL000030","RVS","QDB","62","1331.13"
"FL000031","AIZ","CJF","227","1046.25"
"FL000032","GSI","COH","295","63.13"
"FL000033","SZJ","DEE","188","1012.97"
"FL000034","RBU","CPS","333","1078.38"
"FL000035","YTP","GOK","488","1302.98"
"FL000036","HUX","DXN","450","270.53"
"FL000037","RBU","RLR","559","61.73"
"FL000038","CCU","CIH","113","1253.2"
"FL000039","YFB","LPI","227","1329.53"
"FL000040","ANW","HDS","376","701.82"
"FL000041","EMD","GOT","105","1100.08"
"FL000042","ANW","KNB","131","307.27"
"FL000043","CVM","MST","86","1189.44"
"FL000044","KOT","AIZ","293","1486.16"
"FL000045","DPG","GPT","506","1492.08"
"FL000046","ULX","TKV","268","1447.45"
"FL000047","SOU","HUX","511","1087.8"
"FL000048","LPI","EMD","556","252.8"
"FL000049","NMI","NLT","173","1134.45"
"FL000050","DEE","TNJ","247","929.39"
"FL000051","GPT","KRG","256","704.36"
"FL000052","MAB","GSI","461","1003.52"
"FL000053","GOO","GSI","599","929.13"
"FL000054","QDB","IWJ","598","321.98"
"FL000055","HMA","LPI","475","567.44"
"FL000056","LSF","TKV","62","1475.03"
"FL000057","UVL","SOU","122","1108.3"
"FL000058","RIG","HDS","559","1324.99"
"FL000059","UPL","UAM","493","1062.97"
"FL000060","DEE","KRE","178","937.16"
"FL000061","GOT","GPT","55","1215.19"
"FL000062","NMI","LGC","189","122.77"
"FL000063","NLT","EXT","300","1384.33"
"FL000064","UVL","TUG","151","1133.19"
"FL000065","MAB","CQA","165","1185.8"
"FL000066","LFR","RVS","444","1490.84"
"FL000067","LSF","AKS","481","992.35"
"FL000068","CIH","KIQ","107","536.71"
"FL000069","DZA","AIZ","417","389.78"
"FL000070","IQT","UAM","234","1375.99"
"FL000071","GOT","SQN","251","1336.53"
"FL000072","GOK","TNJ","404","1223.85"
"FL000073","WUM","DEE","586","1025.42"
"FL000074","SRP","ULX","273","1012.68"
"FL000075","BFT","RVS","261","812.74"
"FL000076","VGA","CJF","183","142.79"
"FL000077","RIG","LKZ","53","154.17"
"FL000078","RLR","LMC","223","771.68"
"FL000079","NDK","OCM","100","207.71"
"FL000080","NMI","YTP","463","647.49"
"FL000081","CPS","AUP","385","1113.92"
"FL000082","MDY","TKV","374","701.54"
"FL000083","KRG","TNJ","470","633.79"
"FL000084","YTP","UPL","256","159.23"
"FL000085","TSU","LGC","573","222.4"
"FL000086","OHO","AMJ","304","164.73"
"FL000087","ALX","CPS","386","688.52"
"FL000088","NLT","OCM","51","969.98"
"FL000089","HCZ","GDZ","73","862.11"
"FL000090","OHO","TCC","452","770.89"
"FL000091","VGA","YBH","217","537.83"
"FL000092","LFR","UAX","408","402.1"
"FL000093","UAX","WUM","187","542.61"
"FL000094","DPG","EMD","277","1340.73"
"FL000095","RET","VGA","596","1278.11"
"FL000096","YFB","MST","93","704.08"
"FL000097","OHO","PDG","114","1297.14"
"FL000098","SZJ","YFB","83","533.04"
"FL000099","AMJ","ULX","365","666.11"
"FL000100","HCZ","PDG","531","1236.08"
"FL000101","YFB","COH","331","530.37"
"FL000102","NDK","HLL","461","972.54"
"FL000103","YBH","AIZ","72","723.08"
"FL000104","PKC","DPG","414","608.67"
"FL000105","KDY","GUA","231","153.7"
"FL000106","CPS","SQN","580","1396.03"
"FL000107","KRG","IQT","80","1495.11"
"FL000108","CJF","COH","414","312.04"
"FL000109","RVS","ULX","401","1155.05"
"FL000110","CQA","LGC","258","768.23"
"FL000111","KIQ","IWJ","476","936.18"
"FL000112","HEB","GOO","485","340.89"
"FL000113","RIG","HBG","489","1226.16"
"FL000114","TUG","RVS","548","660.66"
"FL000115","OLA","LKZ","558","525.49"
"FL000116","OKJ","YBH","347","1033.23"
"FL000117","CIH","NLT","526","365.44"
"FL000118","ALX","MAB","304","84.04"
"FL000119","GOT","OCM","322","1305.77"
"FL000120","MDY","NLT","114","143.16"
"FL000121","EMD","GUA","77","360.77"
"FL000122","OKJ","RBU","131","1486.89"
"FL000123","WDB","UAM","265","451.08"
"FL000124","CQA","DEE","557","1110.19"
"FL000125","DEE","SQN","496","710.13"
"FL000126","YTP","OKJ","297","371.67"
"FL000127","SOU","ANW","116","1086.41"
"FL000128","VGA","EXT","97","73.55"
"FL000129","OHO","GUA","427","1071.6"
"FL000130","RET","GSI","102","1415.18"
"FL000131","LFR","QDB","415","803.85"
"FL000132","MDY","LFR","390","955.35"
"FL000133","OCV","OGG","492","381.32"
"FL000134","WDB","HLL","171","139.53"
"FL000135","LSF","TSU","193","1196.2"
"FL000136","MAB","TKV","300","787.91"
"FL000137","LKZ","OCV","196","821.05"
"FL000138","COH","MBM","167","1104.04"
"FL000139","OHO","QDB","187","1436.23"
"FL000140","VGT","RIG","540","1134.16"
"FL000141","AIZ","RET","227","1155.16"
"FL000142","UVL","QDB","304","527.68"
"FL000143","HMA","LWI","83","512.59"
"FL000144","MBM","KRG","275","290.58"
"FL000145","OCV","RIG","558","194.46"
"FL000146","KNB","AIZ","350","174.41"
"FL000147","UAM","HLL","276","451.42"
"FL000148","LPI","CPS","573","810.68"
"FL000149","CVM","UAM","109","1067.72"
"FL000150","CEY","KNB","556","1425.39"
"FL000151","DPG","SRP","561","857.91"
"FL000152","ROI","GOT","410","787.59"
"FL000153","WDB","KRG","351","1432.29"
"FL000154","YFB","DEE","187","293.19"
"FL000155","MBM","MST","403","1208.12"
"FL000156","DZA","OLA","318","1232.57"
"FL000157","PET","WDB","426","1491.25"
"FL000158","EMD","PET","540","247.05"
"FL000159","TUG","AUP","158","797.7"
"FL000160","UVL","OHO","280","845.24"
"FL000161","TUG","VGT","451","618.33"
"FL000162","UAX","OHO","433","865.23"
"FL000163","LMC","KRE","316","221.15"
"FL000164","CJF","LKZ","67","812.84"
"FL000165","GOK","AKS","510","217.84"
"FL000166","OHO","LWI","528","1251.15"
"FL000167","GUA","IQT","564","1282.16"
"FL000168","GUA","ALX","559","371.42"
"FL000169","SRP","SQN","480","1493.79"
"FL000170","EMD","IGE","539","1094.59"
"FL000171","TSU","LKZ","61","1042.8"
"FL000172","UAM","OGG","332","1350.46"
"FL000173","RIG","GOT","193","234.72"
"FL000174","MST","LGC","351","563.98"
"FL000175","EXT","DZA","337","784.8"
"FL000176","DEE","TSU","431","378.06"
"FL000177","RVS","HCZ","254","800.33"
"FL000178","GSI","EXT","537","264.31"
"FL000179","UAM","AKS","189","1308.77"
"FL000180","EMD","GPT","379","179.95"
"FL000181","DZA","WUM","553","324.64"
"FL000182","CPS","HEB","77","666.39"
"FL000183","WDB","HUX","574","1116.38"
"FL000184","OKJ","OCV","409","1499.48"
"FL000185","HUX","HEB","408","1433.34"
"FL000186","HBG","TNJ","355","1340.19"
"FL000187","CIH","LKZ","543","114.07"
"FL000188","NDK","GOT","443","1292.4"
"FL000189","OCM","TKV","378","95.69"
"FL000190","RIG","TCC","458","382.63"
"FL000191","MBM","KRE","581","1361.84"
"FL000192","SQN","MST","357","1267.28"
"FL000193","BFT","CEY","286","1248.38"
"FL000194","VGA","NMI","424","1358.32"
"FL000195","KDY","RVS","261","568.52"
"FL000196","DZA","RVS","249","1306.26"
"FL000197","PET","SQN","285","257.45"
"FL000198","ANW","EMD","81","1388.1"
"FL000199","DEE","HUX","456","700.9"
"FL000200","WUM","ROI","488","984.73"
"FL000201","YBH","NDK","363","1199.84"
"FL000202","GOK","CFC","224","1002.08"
"FL000203","SZJ","GOO","347","1368.62"
"FL000204","LKZ","CQA","220","335.59"
"FL000205","AMJ","SQN","148","1492.23"
"FL000206","MAB","IQT","73","1260.48"
"FL000207","LFR","TCC","467","206.93"
"FL000208","DZA","UVL","525","1250.17"
"FL000209","UAM","ALX","485","1284.07"
"FL000210","TKV","OKJ","387","1250.91"
"FL000211","COH","SQN","92","285.11"
"FL000212","HEB","HLL","108","851.01"
"FL000213","RBU","RIG","305","1215.72"
"FL000214","UAX","PDG","48","1125.13"
"FL000215","CCU","SRP","117","378.82"
"FL000216","ALX","PKC","508","1093.73"
"FL000217","GOT","COH","377","731.25"
"FL000218","ALX","TUG","313","577.09"
